x;y
0.1545084971874737;0.47552825814757677
0.5877852522924731;0.8090169943749475
1.2135254915624212;0.8816778784387097
1.902113032590307;0.6180339887498949
2.5;1.5308084989341916e-16
2.853169548885461;-0.927050983124842
2.831559480312316;-2.0572483830236554
2.351141009169893;-3.2360679774997894
1.3905764746872638;-4.2797543233281905
6.123233995736766e-16;-5.0
-1.6995934690622079;-5.230810839623346
-3.5267115137548384;-4.854101966249686
-5.258610463437158;-3.820604139901076
-6.657395614066075;-2.163118960624633
-7.5;-1.3777276490407722e-15
-7.608452130361229;2.472135954999578
-6.876644452187055;4.99617464448602
-5.29006727063226;7.281152949374526
-2.9356614465620026;9.035036904803958
-2.4492935982947065e-15;10.0
